DBMS	RUNID	QUERYNUM	UPPER_CARD	LOWER_CARD	UPPER_GEN	LOWER_GEN	UPPER_PLAN	LOWER_PLAN	UPPER_CQT	LOWER_CQT	UPPER_GEN_TXT	LOWER_GEN_TXT
db2	439	41	1660000	1650000	5	5	4993976822205043552	2695391409335607648	1430	2000	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	41	1900000	1890000	5	5	4993976822205043552	2695391409335607648	1550	2280	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	44	1000000	990000	6	6	7688365157056424160	5886946729157409120	840	520	HSJOIN,IXSCAN,RETURN,TBSCAN	HSJOIN,IXSCAN,RETURN,TBSCAN
db2	439	46	1010000	1000000	3	3	1099097012468124384	6860240082064478240	340	520	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	47	290000	280000	3	3	7724595746652993312	8515245752388713696	160	170	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	47	1440000	1430000	3	3	8515245752388713696	7724595746652993312	1060	705	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	47	1460000	1450000	3	3	7724595746652993312	7724595746652993312	720	720	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	51	70000	60000	5	5	-8672281388704363680	6343049675761481056	50	40	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	54	1000000	990000	5	5	5454323360872512352	801518568742189152	1140	1020	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	57	900000	890000	5	5	9123633194714016608	-6272238978637146784	1325	1120	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	64	920000	910000	5	5	-8672281388704363680	6343049675761481056	1030	1130	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	64	1640000	1630000	5	5	-8672281388704363680	-1737318557098691232	3420	3750	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	64	1740000	1730000	5	5	-1737318557098691232	-8672281388704363680	4080	3750	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	64	1810000	1800000	5	5	-1737318557098691232	-1737318557098691232	4310	4265	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	65	60000	50000	3	3	8269501330624139104	-2606508093910334816	25	20	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	66	360000	350000	3	3	-7435514676055586240	5612188923814281056	290	220	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	71	280000	270000	3	3	-2606508093910334816	8269501330624139104	100	100	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	71	290000	280000	3	3	8269501330624139104	-2606508093910334816	110	100	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	72	1050000	1040000	5	5	-6027398650758265504	-1737318557098691232	1390	1550	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	72	1400000	1390000	5	5	-1737318557098691232	-6027398650758265504	2440	2160	GRPBY,HSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
db2	439	73	80000	70000	8	8	2807851696153314272	2648888156375595616	60	50	FILTER,HSJOIN,IXSCAN,MSJOIN,RETURN,SORT,TBSCAN	FILTER,HSJOIN,IXSCAN,MSJOIN,RETURN,SORT,TBSCAN
db2	439	73	1520000	1510000	6	6	-8960507763840115296	1915501660694358624	930	1170	HSJOIN,IXSCAN,RETURN,TBSCAN	HSJOIN,IXSCAN,RETURN,TBSCAN
db2	439	77	1260000	1250000	3	3	8269501330624139104	-2606508093910334816	720	440	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	78	830000	820000	3	3	3347919323387848704	5205871110095917248	440	575	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	78	1500000	1490000	3	3	-3574058464196825248	3347919323387848704	930	660	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	78	1850000	1840000	3	3	363993050462931808	-3574058464196825248	780	1100	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	78	1860000	1850000	3	3	363993050462931808	363993050462931808	790	780	HSJOIN,RETURN,TBSCAN	HSJOIN,RETURN,TBSCAN
db2	439	81	1260000	1250000	8	5	-535077561856144160	8083383513364144480	1770	1875	FILTER,GRPBY,HSJOIN,MSJOIN,RETURN,SORT,TBSCAN	GRPBY,HSJOIN,RETURN,SORT,TBSCAN
