DBMS	RUNID	QUERYNUM	UPPER_GEN	LOWER_GEN	NEAREST_CARD	UPPER_CARD	LOWER_CARD	NEAREST_CQT	UPPER_CQT	LOWER_CQT	LOWER_EP_CQT	UPPER_GEN_TXT	LOWER_GEN_TXT
oracle	438	81	5	6	1110000	830000	820000	1695	1445	2117.5	1436.1	HASH,HASH JOIN,SELECT STATEMENT,VIEW	HASH,HASH JOIN,MERGE JOIN,SELECT STATEMENT,SORT,VIEW
oracle	438	81	3	5	380000	70000	60000	730	270	270	255.2	HASH,HASH JOIN,SELECT STATEMENT	HASH,HASH JOIN,SELECT STATEMENT,VIEW
oracle	438	82	3	6	1780000	1230000	1220000	2622.5	1837.5	1510	1823.2	HASH,HASH JOIN,SELECT STATEMENT	HASH,HASH JOIN,MERGE JOIN,SELECT STATEMENT,SORT,VIEW
oracle	438	83	3	5	820000	800000	790000	1007.5	965	1320	943.8	HASH,HASH JOIN,SELECT STATEMENT	HASH,HASH JOIN,SELECT STATEMENT,VIEW
oracle	438	95	3	5	70000	40000	30000	335	310	290	301.7	HASH,HASH JOIN,SELECT STATEMENT	HASH,HASH JOIN,SELECT STATEMENT,VIEW
pgsql	230	0	2	6	2000000	20000	10000	2790	30	10	16.1	Seq Scan,Sort	HashAggregate,Seq Scan
pgsql	230	1	4	6	2000000	20000	10000	2640	360	340	348.5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	2	4	6	2000000	20000	10000	5355	10	5	-17	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	9	4	5	1650000	1560000	1550000	7085	6340	10792.5	6257.2	Hash Join,Hash,Seq Scan,Sort	Merge Join,Seq Scan,Sort
pgsql	230	9	4	6	40000	20000	10000	50	10	10	-10	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	22	4	6	2000000	20000	10000	5055	10	5	-15.5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	23	4	6	720000	20000	10000	2785	580	510	548.5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	27	4	6	90000	50000	40000	680	500	480	455	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	29	4	6	40000	20000	10000	50	20	10	5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	40	2	6	2000000	20000	10000	3145	20	10	4.2	Seq Scan,Sort	HashAggregate,Seq Scan
pgsql	230	42	4	6	2000000	20000	10000	7705	30	10	-8.8	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	44	4	6	990000	20000	10000	2030	135	130	115.5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	48	4	6	720000	250000	240000	1675	745	730	725.2	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	49	4	6	2000000	20000	10000	7580	10	10	-28.2	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	62	4	6	2000000	20000	10000	5845	10	0	-19.5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	65	4	6	40000	20000	10000	40	10	10	-5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	66	4	6	720000	20000	10000	4160	870	760	823	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	69	4	6	2000000	20000	10000	11635	10	10	-48.7	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	80	2	6	2000000	20000	10000	2995	30	10	15	Seq Scan,Sort	HashAggregate,Seq Scan
pgsql	230	81	4	6	2000000	20000	10000	2825	355	345	342.5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	82	4	6	2000000	20000	10000	4980	10	5	-15.1	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	85	4	6	2000000	20000	10000	6897.5	10	10	-24.8	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	87	4	6	950000	120000	110000	2035	615	600	597.9	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	230	88	4	6	80000	20000	10000	490	290	250	256.7	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	0	4	7	720000	250000	240000	2500	1630	1450	1611.5	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	1	4	8	720000	250000	240000	2775	1440	1215	1411.6	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	2	4	6	990000	20000	10000	2030	130	130	110.4	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	3	4	6	40000	20000	10000	40	10	10	-5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	5	4	6	2000000	20000	10000	6877.5	15	10	-19.7	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	7	4	6	2000000	20000	10000	6760	10	10	-24.1	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	8	4	6	2000000	20000	10000	6935	10	10	-25	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	15	4	8	1640000	1400000	1390000	4570	4470	4050	4465.8	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Index Only Scan,Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	15	4	8	720000	530000	520000	3365	2765	2090	2733.4	Hash Join,Hash,Seq Scan,Sort	Index Only Scan,Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	21	4	6	2000000	20000	10000	4660	10	5	-13.5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	23	4	8	720000	250000	240000	2785	1440	1220	1411.4	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	24	4	8	720000	250000	240000	1400	965	760	955.7	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	25	4	9	410000	50000	40000	1410	980	730	968.1	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Only Scan,Nested Loop,Seq Scan
pgsql	796	26	4	9	70000	50000	40000	755	720	370	702.5	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Scan,Nested Loop,Seq Scan
pgsql	796	27	4	7	540000	240000	230000	1060	570	330	553.7	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	28	4	8	720000	250000	240000	1750	825	610	805.3	Hash Join,Hash,Seq Scan,Sort	Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	30	4	6	320000	20000	10000	360	10	10	-1.7	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	31	4	5	1690000	1380000	1370000	3757.5	3285	4025	3269.8	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Merge Join,Seq Scan,Sort
pgsql	796	31	4	5	1380000	1360000	1350000	3285	3245	3995	3225	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Merge Join,Seq Scan,Sort
pgsql	796	34	4	8	720000	250000	240000	1400	960	770	950.6	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Scan,Merge Join,Seq Scan,Sort
pgsql	796	35	4	7	720000	250000	240000	4155	2100	1900	2056.3	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	36	4	7	340000	250000	240000	930	815	775	802.2	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	36	7	9	240000	110000	100000	775	500	380	478.8	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort	Hash Join,Hash,Index Only Scan,Nested Loop,Seq Scan
pgsql	796	37	4	7	540000	240000	230000	1060	570	330	553.7	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	41	4	6	990000	20000	10000	1940	135	130	116.4	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	42	4	7	320000	310000	300000	950	940	690	930	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	42	7	9	230000	110000	100000	590	405	380	389.6	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort	Hash Join,Hash,Index Only Scan,Nested Loop,Seq Scan,Sort
pgsql	796	44	4	7	720000	250000	240000	2385	1560	1380	1542.4	Hash Join,Hash,Seq Scan	Hash Join,Hash,Index Only Scan,Merge Join,Seq Scan,Sort
pgsql	796	48	4	6	2000000	20000	10000	7440	10	10	-27.5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	49	4	5	2000000	1480000	1470000	4335	3645	4795	3631.7	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Merge Join,Seq Scan,Sort
pgsql	796	49	4	5	1480000	1460000	1450000	3645	3605	4750	3585	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,Merge Join,Seq Scan,Sort
pgsql	796	49	5	6	60000	20000	10000	810	650	550	610	Hash Join,Hash,Merge Join,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
pgsql	796	51	4	6	40000	20000	10000	50	20	10	5	Hash Join,Hash,Seq Scan,Sort	Hash Join,Hash,HashAggregate,Seq Scan
