TASK_LEN (in s)	SAMPLE_SIZE	RAW_BIN (in ms)	RAW_FREQ	NOR_PT	REL_FREQ
16384	130	16416369.5	5	1.97567749023438	0.0384615384615385
16384	130	16416374.5	5	1.97598266601562	0.0384615384615385
16384	130	16416379.5	4	1.97628784179688	0.0307692307692308
16384	130	16416384.5	3	1.97659301757812	0.0230769230769231
16384	130	16416389.5	6	1.97689819335938	0.0461538461538462
16384	130	16416394.5	5	1.97720336914062	0.0384615384615385
16384	130	16416399.5	2	1.97750854492188	0.0153846153846154
16384	130	16416404.5	1	1.97781372070312	0.00769230769230769
16384	130	16416409.5	1	1.97811889648438	0.00769230769230769
16384	130	16416414.5	0	1.97842407226562	0
16384	130	16416419.5	1	1.97872924804688	0.00769230769230769
16384	130	16416424.5	0	1.97903442382812	0
16384	130	16416429.5	0	1.97933959960938	0
16384	130	16416434.5	1	1.97964477539062	0.00769230769230769
