ALGRUNID	ITERNUM	U_TIME	S_TIME	PRTIME	ALL_U_TIME	ALL_S_TIME	ALL_MIN_FLT	ALL_MAJ_FLT	ALL_NIVCSW	ALL_NVCSW	ALL_CPU_COUNT	ALL_CPU_DELAY	ALL_BLKIO_COUNT	ALL_SWAPIN_COUNT	ALL_SWAPIN_DELAY	ALL_FREEPGS_COUNT	ALL_FREEPGS_DELAY	ALL_READ_BYTES	ALL_READ_CHAR	ALL_READ_SYSCALLS	ALL_WRITE_BYTES	ALL_WRITE_CHAR	ALL_WRITE_SYSCALLS
19080	32	128268	2	128270	193	20	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	33	128275	2	128277	191	21	1115	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19080	34	128269	5	128274	197	18	1120	0	0	0	0	0	0	0	0	0	0	0	11480	20	32768	0	0
19080	35	128265	3	128268	195	20	1121	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19080	36	128276	2	128278	195	21	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	37	128266	5	128271	191	20	1116	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19080	38	128266	3	128269	193	20	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	39	128274	2	128276	197	19	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	40	128270	3	128273	195	21	1115	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19080	41	128270	5	128275	195	18	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	32768	0	0
19080	42	128272	3	128275	195	20	1114	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19080	43	128265	3	128268	195	22	1121	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19080	44	128268	1	128269	193	18	1121	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19080	45	128267	4	128271	198	17	1116	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
19080	46	128272	4	128276	193	22	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	47	128269	3	128272	193	21	1117	0	0	0	0	0	0	0	0	0	0	0	11480	23	16384	0	0
19080	48	128269	1	128270	193	21	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	49	128270	4	128274	197	19	1114	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19080	50	128266	3	128269	195	19	1117	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	51	128264	3	128267	198	17	1115	0	0	0	0	0	0	0	0	0	0	0	11480	23	20480	0	0
19080	52	128276	3	128279	193	18	1121	0	0	0	0	0	0	0	0	0	0	0	11480	20	16384	0	0
19080	53	128264	4	128268	197	17	1120	0	0	0	0	0	0	0	0	0	0	0	11480	20	20480	0	0
