DBMS	RUNID	QUERYNUM	LOW_CARD	HIGH_CARD	PLANID	OPORDER	OPNAME	SLOPE	RSQR
pgsql	418	7	1490000	1580000	-7781890954971468828	1	Merge Join	 	 
pgsql	418	7	1490000	1580000	-7781890954971468828	2	Sort	 	 
pgsql	418	7	1490000	1580000	-7781890954971468828	3	Seq Scan	 	 
pgsql	418	7	1490000	1580000	-7781890954971468828	5	Sort	 	 
pgsql	418	7	1490000	1580000	-7781890954971468828	6	Seq Scan	 	 
pgsql	418	7	1490000	1580000	-7781890954971468828	8	Merge Join	2.843	1
pgsql	418	7	1490000	1580000	-7781890954971468828	9	Sort	6.445	1
pgsql	418	7	1490000	1580000	-7781890954971468828	10	Seq Scan	64.935	1
pgsql	418	7	1490000	1580000	-7781890954971468828	12	Sort	6.445	1
pgsql	418	7	1490000	1580000	-7781890954971468828	13	Seq Scan	64.935	1
pgsql	418	7	1650000	1810000	1730164490160577600	0	Hash Join	0.81	0.342
pgsql	418	7	1650000	1810000	1730164490160577600	1	Hash Join	3.739	0.598
pgsql	418	7	1650000	1810000	1730164490160577600	2	Seq Scan	 	 
pgsql	418	7	1650000	1810000	1730164490160577600	4	Hash	3.345	0.246
pgsql	418	7	1650000	1810000	1730164490160577600	5	Hash Join	3.345	0.246
pgsql	418	7	1650000	1810000	1730164490160577600	6	Seq Scan	 	 
pgsql	418	7	1650000	1810000	1730164490160577600	8	Hash	64.92	1
pgsql	418	7	1650000	1810000	1730164490160577600	9	Seq Scan	64.92	1
pgsql	418	7	1650000	1810000	1730164490160577600	11	Hash	64.92	1
pgsql	418	7	1650000	1810000	1730164490160577600	12	Seq Scan	64.92	1
pgsql	418	7	1900000	2000000	1730164490160577600	0	Hash Join	0.379	0.274
pgsql	418	7	1900000	2000000	1730164490160577600	1	Hash Join	2.017	0.428
pgsql	418	7	1900000	2000000	1730164490160577600	2	Seq Scan	 	 
pgsql	418	7	1900000	2000000	1730164490160577600	4	Hash	1.723	0.243
pgsql	418	7	1900000	2000000	1730164490160577600	5	Hash Join	1.723	0.243
pgsql	418	7	1900000	2000000	1730164490160577600	6	Seq Scan	 	 
pgsql	418	7	1900000	2000000	1730164490160577600	8	Hash	64.935	1
pgsql	418	7	1900000	2000000	1730164490160577600	9	Seq Scan	64.935	1
pgsql	418	7	1900000	2000000	1730164490160577600	11	Hash	64.935	1
pgsql	418	7	1900000	2000000	1730164490160577600	12	Seq Scan	64.935	1
