# Note: units are msec; all means are relative to 1002.1*INC.
# Normal-fit columns are MEAN,SD,DISCN.  ("DISC" means discrepancy, i.e. negative goodness of fit)
# Binormal-fit columns are MEAN1,MEAN2,M2-M1,SD1,SD2,SCALE1,SCALE2,STRONG,DISCB.
#INC   DATE      MEAN       MEAN1   MEAN2    M2-M1     SD       SD1     SD2       SCALE1  SCALE2 STRONG DISCN  DISCB
63     14-Apr-19  0.01485  -1.37791  0.47466 1.85258   1.62321  2.63449 1.10045   0.27419 0.72580  R   0.04152 0.00574
63.5   14-Apr-19  0.13756  -2.95407  0.66166 3.61573   1.83633  2.24069 1.12276   0.23911 0.76089  R   0.06286 0.00891
64     03-Mar-17  1.19517  -2.49969  3.04546 5.54515   2.91144  1.14996 1.24450   0.33180 0.66819  R   0.09609 0.00465
65     02-Mar-19  0.075    -3.96089  1.38955 5.35044   2.72193  1.69048 1.16186   0.25243 0.74756  R   0.07366 0.00828
66     02-Mar-19 -0.833    -3.78097  1.74701 5.52798   2.87129  1.49952 1.14584   0.28551 0.71449  R   0.07634 0.00542
67     03-Mar-19 -0.04365  -3.90364  1.94099 5.84463   3.00173  1.37741 1.20708   0.34014 0.65986  R   0.10595 0.00983
68     04-Mar-19 -0.21519  -3.61238  1.96757 5.57995   3.03130  1.44237 1.33949   0.38816 0.61183  R   0.08227 0.00670
69     05-Mar-19 -0.213    -3.55473  2.16493 5.71966   3.10977  1.22903 1.18556   0.41879 0.58120  R   0.06894 0.00525
70     06-Mar-19 -0.016    -3.1225   2.67111 5.79361   3.25919  1.36253 1.29219   0.47414 0.52585  R   0.06282 0.00643
71     06-Mar-19  0.93006  -1.88094  3.96188 5.84282   3.14304  1.15054 1.14480   0.51770 0.48229  L   0.10392 0.00726
72     08-Jun-17  3.65471   2.14165  7.46889 5.32724   2.74454  1.10353 1.44850   0.71601 0.28398  L   0.09426 0.00565
74     09-Nov-18 -0.12272  -1.84299  3.52159 5.36458   2.88562  1.37753 1.35841   0.67753 0.32246  L   0.06244 0.00584
76     10-Nov-18  0.99659  -0.20228  5.21274 5.41503   2.72162  1.43808 1.28317   0.77856 0.22143  L   0.05748 0.00407
