*readMe
- [LOW_CARD, HIGH_CARD]: a range with the unique plan
- CURR_CARD: a cardinality in a range 

DBMS	RUNID	QUERYNUM	LOW_CARD	HIGH_CARD	CURR_CARD	PLANID	OPNAME	OPORDER	COST
db2	252	7	50000	200000	180000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	190000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	200000	-7734868676949578016	TBSCAN	6	10717
db2	252	7	50000	200000	50000	-7734868676949578016	HSJOIN	7	1082
db2	252	7	50000	200000	60000	-7734868676949578016	HSJOIN	7	1306
db2	252	7	50000	200000	70000	-7734868676949578016	HSJOIN	7	1517
db2	252	7	50000	200000	80000	-7734868676949578016	HSJOIN	7	1741
db2	252	7	50000	200000	90000	-7734868676949578016	HSJOIN	7	1952
db2	252	7	50000	200000	100000	-7734868676949578016	HSJOIN	7	2163
db2	252	7	50000	200000	110000	-7734868676949578016	HSJOIN	7	2387
db2	252	7	50000	200000	120000	-7734868676949578016	HSJOIN	7	2598
db2	252	7	50000	200000	130000	-7734868676949578016	HSJOIN	7	2809
db2	252	7	50000	200000	140000	-7734868676949578016	HSJOIN	7	3034
db2	252	7	50000	200000	150000	-7734868676949578016	HSJOIN	7	3245
db2	252	7	50000	200000	160000	-7734868676949578016	HSJOIN	7	3469
db2	252	7	50000	200000	170000	-7734868676949578016	HSJOIN	7	3680
db2	252	7	50000	200000	180000	-7734868676949578016	HSJOIN	7	3891
db2	252	7	50000	200000	190000	-7734868676949578016	HSJOIN	7	4115
db2	252	7	50000	200000	200000	-7734868676949578016	HSJOIN	7	4326
db2	252	7	50000	200000	50000	-7734868676949578016	TBSCAN	8	537
db2	252	7	50000	200000	60000	-7734868676949578016	TBSCAN	8	648
db2	252	7	50000	200000	70000	-7734868676949578016	TBSCAN	8	752
db2	252	7	50000	200000	80000	-7734868676949578016	TBSCAN	8	864
db2	252	7	50000	200000	90000	-7734868676949578016	TBSCAN	8	968
db2	252	7	50000	200000	100000	-7734868676949578016	TBSCAN	8	1073
db2	252	7	50000	200000	110000	-7734868676949578016	TBSCAN	8	1184
db2	252	7	50000	200000	120000	-7734868676949578016	TBSCAN	8	1289
db2	252	7	50000	200000	130000	-7734868676949578016	TBSCAN	8	1394
db2	252	7	50000	200000	140000	-7734868676949578016	TBSCAN	8	1505
db2	252	7	50000	200000	150000	-7734868676949578016	TBSCAN	8	1610
db2	252	7	50000	200000	160000	-7734868676949578016	TBSCAN	8	1721
db2	252	7	50000	200000	170000	-7734868676949578016	TBSCAN	8	1825
db2	252	7	50000	200000	180000	-7734868676949578016	TBSCAN	8	1930
db2	252	7	50000	200000	190000	-7734868676949578016	TBSCAN	8	2041
db2	252	7	50000	200000	200000	-7734868676949578016	TBSCAN	8	2146
db2	252	7	50000	200000	50000	-7734868676949578016	TBSCAN	9	537
db2	252	7	50000	200000	60000	-7734868676949578016	TBSCAN	9	648
db2	252	7	50000	200000	70000	-7734868676949578016	TBSCAN	9	752
db2	252	7	50000	200000	80000	-7734868676949578016	TBSCAN	9	864
db2	252	7	50000	200000	90000	-7734868676949578016	TBSCAN	9	968
db2	252	7	50000	200000	100000	-7734868676949578016	TBSCAN	9	1073
db2	252	7	50000	200000	110000	-7734868676949578016	TBSCAN	9	1184
db2	252	7	50000	200000	120000	-7734868676949578016	TBSCAN	9	1289
db2	252	7	50000	200000	130000	-7734868676949578016	TBSCAN	9	1394
db2	252	7	50000	200000	140000	-7734868676949578016	TBSCAN	9	1505
db2	252	7	50000	200000	150000	-7734868676949578016	TBSCAN	9	1610
db2	252	7	50000	200000	160000	-7734868676949578016	TBSCAN	9	1721
db2	252	7	50000	200000	170000	-7734868676949578016	TBSCAN	9	1825
db2	252	7	50000	200000	180000	-7734868676949578016	TBSCAN	9	1930
db2	252	7	50000	200000	190000	-7734868676949578016	TBSCAN	9	2041
db2	252	7	50000	200000	200000	-7734868676949578016	TBSCAN	9	2146
db2	252	7	230000	310000	230000	-7734868676949578016	RETURN	0	26986
db2	252	7	230000	310000	240000	-7734868676949578016	RETURN	0	27211
db2	252	7	230000	310000	250000	-7734868676949578016	RETURN	0	27426
db2	252	7	230000	310000	260000	-7734868676949578016	RETURN	0	27641
db2	252	7	230000	310000	270000	-7734868676949578016	RETURN	0	27868
db2	252	7	230000	310000	280000	-7734868676949578016	RETURN	0	28081
db2	252	7	230000	310000	290000	-7734868676949578016	RETURN	0	28290
db2	252	7	230000	310000	300000	-7734868676949578016	RETURN	0	28518
db2	252	7	230000	310000	310000	-7734868676949578016	RETURN	0	28723
db2	252	7	230000	310000	230000	-7734868676949578016	GRPBY	1	26986
db2	252	7	230000	310000	240000	-7734868676949578016	GRPBY	1	27211
db2	252	7	230000	310000	250000	-7734868676949578016	GRPBY	1	27426
db2	252	7	230000	310000	260000	-7734868676949578016	GRPBY	1	27641
db2	252	7	230000	310000	270000	-7734868676949578016	GRPBY	1	27868
db2	252	7	230000	310000	280000	-7734868676949578016	GRPBY	1	28081
db2	252	7	230000	310000	290000	-7734868676949578016	GRPBY	1	28290
db2	252	7	230000	310000	300000	-7734868676949578016	GRPBY	1	28518
db2	252	7	230000	310000	310000	-7734868676949578016	GRPBY	1	28723
db2	252	7	230000	310000	230000	-7734868676949578016	HSJOIN	2	26899
db2	252	7	230000	310000	240000	-7734868676949578016	HSJOIN	2	27124
db2	252	7	230000	310000	250000	-7734868676949578016	HSJOIN	2	27336
db2	252	7	230000	310000	260000	-7734868676949578016	HSJOIN	2	27548
db2	252	7	230000	310000	270000	-7734868676949578016	HSJOIN	2	27774
db2	252	7	230000	310000	280000	-7734868676949578016	HSJOIN	2	27986
db2	252	7	230000	310000	290000	-7734868676949578016	HSJOIN	2	28197
db2	252	7	230000	310000	300000	-7734868676949578016	HSJOIN	2	28423
db2	252	7	230000	310000	310000	-7734868676949578016	HSJOIN	2	28634
db2	252	7	230000	310000	230000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	230000	310000	240000	-7734868676949578016	HSJOIN	3	21819
db2	252	7	230000	310000	250000	-7734868676949578016	HSJOIN	3	21819
