ALGRUNID	ITERNUM	INC_PT	KSD0_PT	KSD1_PT	MR1_PT	RHS_PT	TOT_PT
27441	802	80169	4	4	0	0	8
27441	803	80168	4	5	1	0	10
27441	804	80168	4	4	1	0	9
27441	805	80169	4	4	0	0	8
27441	806	80168	4	4	0	0	8
27441	807	80171	4	4	0	0	8
27441	808	80172	4	4	1	0	9
27441	809	80172	4	4	1	0	9
27441	810	80167	4	4	2	0	10
27441	811	80167	4	4	1	0	9
27441	812	80168	4	4	1	0	9
27441	813	80168	4	4	2	0	10
27441	814	80169	4	4	1	0	9
27441	815	80167	4	4	2	0	10
27441	816	80169	4	4	0	0	8
27441	817	80168	4	4	1	0	9
27441	818	80166	4	4	2	0	10
27441	819	80169	4	4	1	0	9
27441	820	80167	4	4	3	0	11
27441	821	80169	4	4	1	0	9
27441	822	80169	4	4	1	0	9
27441	823	80169	4	4	1	0	9
27441	824	80168	4	4	1	0	9
27441	825	80169	4	4	1	0	9
27441	826	80168	4	4	2	0	10
27441	827	80169	4	4	1	0	9
27441	828	80169	4	4	1	0	9
27441	829	80168	4	4	2	0	10
27441	830	80168	4	4	2	0	10
27441	831	80169	4	4	1	0	9
27441	832	80168	4	4	2	0	10
27441	833	80169	4	4	1	0	9
27441	834	80168	4	4	2	0	10
27441	835	80168	4	4	2	0	10
27441	836	80167	4	4	3	0	11
27441	837	80168	4	4	1	0	9
27441	838	80168	4	4	1	0	9
27441	839	80169	4	4	0	0	8
27441	840	80168	4	4	1	0	9
27441	841	80166	4	4	3	0	11
27441	842	80171	4	4	1	0	9
27441	843	80168	4	4	1	0	9
27441	844	80170	4	4	2	0	10
27441	845	80169	4	4	1	0	9
27441	846	80168	4	4	0	0	8
27441	847	80169	4	4	1	0	9
27441	848	80168	4	4	1	0	9
27441	849	80166	4	4	3	0	11
27441	850	80164	4	4	4	0	12
27441	851	80167	4	4	2	0	10
27441	852	80170	4	4	0	0	8
27441	853	80168	4	4	2	0	10
27441	854	80169	4	4	2	0	10
27441	855	80170	4	4	0	0	8
27441	856	80170	4	4	0	0	8
27441	857	80169	4	4	1	0	9
27441	858	80169	4	4	2	0	10
27441	859	80169	4	4	1	0	9
27441	860	80168	4	4	2	0	10
27441	861	80169	4	4	1	0	9
27441	862	80171	4	4	0	0	8
27441	863	80169	4	4	1	0	9
27441	864	80169	4	4	2	0	10
27441	865	80169	4	4	0	0	8
27441	866	80168	4	4	1	0	9
27441	867	80169	4	4	1	0	9
27441	868	80169	4	4	2	0	10
27441	869	80168	4	5	1	0	10
27441	870	80168	4	4	2	0	10
27441	871	80168	4	4	0	0	8
27441	872	80168	4	4	2	0	10
27441	873	80169	4	4	1	0	9
27441	874	80171	4	5	1	0	10
27441	875	80165	4	4	4	0	12
27441	876	80171	4	4	1	0	9
27441	877	80168	4	4	1	0	9
27441	878	80168	4	4	2	0	10
27441	879	80170	4	4	0	0	8
27441	880	80168	4	4	2	0	10
27441	881	80169	4	4	1	0	9
27441	882	80170	4	4	1	0	9
27441	883	80170	4	4	0	0	8
27441	884	80168	4	4	2	0	10
27441	885	80168	4	4	1	0	9
27441	886	80170	4	4	1	0	9
27441	887	80168	4	4	2	0	10
27441	888	80168	4	4	1	0	9
27441	889	80169	4	4	1	0	9
27441	890	80170	4	4	0	0	8
27441	891	80167	4	4	2	0	10
27441	892	80168	4	4	1	0	9
27441	893	80169	4	4	1	0	9
27441	894	80169	4	4	2	0	10
27441	895	80168	4	4	1	0	9
27441	896	80170	4	4	1	0	9
27441	897	80169	4	4	1	0	9
27441	898	80170	4	4	1	0	9
27441	899	80169	4	4	1	0	9
27441	900	80170	4	4	1	0	9
27441	901	80166	4	4	2	0	10
27441	902	80165	4	4	2	0	10
27441	903	80170	4	4	1	0	9
27441	904	80168	4	4	2	0	10
27441	905	80170	4	4	0	0	8
27441	906	80172	4	4	0	0	8
27441	907	80172	4	4	0	0	8
27441	908	80168	4	4	2	0	10
27441	909	80168	4	4	2	0	10
27441	910	80169	4	4	2	0	10
27441	911	80169	4	4	0	0	8
27441	912	80168	4	4	2	0	10
27441	913	80168	4	4	2	0	10
27441	914	80170	4	4	0	0	8
27441	915	80169	4	4	1	0	9
27441	916	80167	4	4	2	0	10
27441	917	80168	4	4	2	0	10
27441	918	80170	4	4	1	0	9
27441	919	80166	4	4	1	0	9
27441	920	80167	4	4	1	0	9
27441	921	80168	4	4	1	0	9
27441	922	80169	4	4	1	0	9
27441	923	80168	4	4	2	0	10
27441	924	80169	4	4	1	0	9
27441	925	80169	4	4	1	0	9
27441	926	80168	4	4	2	0	10
27441	927	80172	5	4	0	0	9
27441	928	80169	4	4	1	0	9
27441	929	80169	4	4	1	0	9
27441	930	80169	4	4	1	0	9
27441	931	80170	4	4	0	0	8
27441	932	80169	4	4	1	0	9
27441	933	80170	4	4	2	0	10
27441	934	80168	4	4	2	0	10
27441	935	80169	4	4	1	0	9
