ALGRUNID	ITERNUM	INC_PT	KSD0_PT	KSD1_PT	MR1_PT	TOT_PT
19300	418	80173	4	4	0	8
19300	419	80173	4	4	0	8
19300	420	80171	4	4	0	8
19300	421	80171	4	4	1	9
19300	422	80168	4	4	3	11
19300	423	80174	4	5	3	12
19300	424	80170	4	4	1	9
19300	425	80170	4	4	2	10
19300	426	80172	4	4	0	8
19300	427	80170	4	4	2	10
19300	428	80168	4	4	1	9
19300	429	80172	4	4	0	8
19300	430	80173	4	4	0	8
19300	431	80171	4	4	1	9
19300	432	80170	4	4	1	9
19300	433	80171	4	4	1	9
19300	434	80172	4	4	0	8
19300	435	80172	4	4	1	9
19300	436	80172	4	4	1	9
19300	437	80171	4	4	1	9
19300	438	80168	4	4	1	9
19300	439	80169	4	4	1	9
19300	440	80170	4	4	1	9
19300	441	80170	4	4	2	10
19300	442	80173	4	4	0	8
19300	443	80170	4	4	2	10
19300	444	80170	4	4	1	9
19300	445	80172	4	4	2	10
19300	446	80173	4	4	0	8
19300	447	80171	4	4	0	8
19300	448	80170	4	4	2	10
19300	449	80174	4	4	2	10
19300	450	80171	4	4	2	10
19300	451	80171	4	4	1	9
19300	452	80170	4	4	1	9
19300	453	80165	4	4	3	11
19300	454	80170	4	4	2	10
19300	455	80172	4	4	1	9
19300	456	80171	4	4	0	8
19300	457	80173	4	4	1	9
19300	458	80171	4	4	1	9
19300	459	80172	4	4	0	8
19300	460	80172	4	4	1	9
19300	461	80170	4	4	2	10
19300	462	80170	4	4	2	10
19300	463	80171	4	4	1	9
19300	464	80171	4	4	1	9
19300	465	80169	4	4	3	11
19300	466	80171	4	4	0	8
19300	467	80166	4	4	2	10
19300	468	80171	4	4	2	10
19300	469	80172	4	4	0	8
19300	470	80170	4	4	2	10
19300	471	80171	4	4	2	10
19300	472	80171	4	4	1	9
19300	473	80172	4	4	0	8
19300	474	80171	4	4	1	9
19300	475	80171	4	4	1	9
19300	476	80172	4	4	0	8
