INC_NUMBER	PT	FREQ
17	17035	356
17	17036	237
17	17037	28
17	17038	21
17	17039	36
17	17040	39
17	17041	49
17	17042	30
17	17043	1
17	17044	1
18	18035	7
18	18036	89
18	18037	342
18	18038	402
18	18039	33
18	18040	31
18	18041	25
18	18042	29
18	18043	18
18	18044	22
18	18045	1
18	18057	1
19	19038	37
19	19039	250
19	19040	552
19	19041	70
19	19042	32
19	19043	30
19	19044	19
19	19045	9
19	19060	1
20	20039	2
20	20040	15
20	20041	217
20	20042	584
20	20043	160
20	20044	13
20	20045	6
20	20046	3
21	21038	3
21	21039	14
21	21040	18
21	21041	12
21	21042	28
21	21043	144
21	21044	393
21	21045	324
21	21046	48
21	21047	11
21	21048	4
21	21049	0
21	21050	1
22	22039	2
22	22040	15
22	22041	45
22	22042	25
22	22043	28
22	22044	21
22	22045	73
22	22046	228
22	22047	434
22	22048	119
22	22049	9
22	22059	1
23	23041	1
23	23042	12
23	23043	45
23	23044	55
23	23045	28
23	23046	26
23	23047	50
23	23048	243
23	23049	370
23	23050	146
23	23051	18
23	23052	5
23	23063	1
24	24044	2
24	24045	22
24	24046	58
24	24047	76
24	24048	53
24	24049	23
24	24050	29
24	24051	94
24	24052	285
24	24053	268
24	24054	86
24	24055	3
24	24061	1
32	32064	7
32	32065	75
32	32066	234
32	32067	259
32	32068	71
32	32069	36
32	32070	22
32	32071	55
32	32072	120
32	32073	100
32	32074	16
32	32075	1
32	32076	2
32	32077	1
32	32086	1
48	48096	5
48	48097	27
48	48098	39
48	48099	83
48	48100	126
48	48101	121
48	48102	101
48	48103	91
48	48104	117
48	48105	130
48	48106	103
48	48107	39
48	48108	14
48	48109	2
48	48110	1
48	48121	1
64	64128	2
64	64129	4
64	64130	31
64	64131	89
64	64132	99
64	64133	80
64	64134	29
64	64135	37
64	64136	111
64	64137	184
64	64138	205
64	64139	96
64	64140	26
64	64141	4
64	64142	3
72	72149	1
72	72150	6
72	72151	27
72	72152	122
72	72153	256
72	72154	198
72	72155	87
72	72156	38
72	72157	39
72	72158	59
72	72159	86
72	72160	49
72	72161	23
72	72162	4
72	72164	3
72	72169	2
74	74148	1
74	74149	2
74	74150	6
74	74151	46
74	74152	95
74	74153	174
74	74154	186
74	74155	103
74	74156	65
74	74157	62
74	74158	55
74	74159	96
74	74160	69
74	74161	31
74	74162	6
74	74163	1
74	74164	0
74	74165	1
74	74178	1
76	76154	1
76	76155	3
76	76156	13
76	76157	63
76	76158	124
76	76159	213
76	76160	185
76	76161	121
76	76162	52
76	76163	35
76	76164	57
76	76165	71
76	76166	37
76	76167	20
76	76168	1
76	76169	1
76	76170	0
76	76171	0
76	76172	0
76	76173	1
76	76174	1
76	76181	1
78	78159	3
78	78160	33
78	78161	80
78	78162	202
78	78163	247
78	78164	211
78	78165	73
78	78166	47
78	78167	32
78	78168	32
78	78169	26
78	78170	6
78	78171	4
78	78172	1
78	78173	2
78	78181	1
80	80163	1
80	80164	10
80	80165	34
80	80166	41
80	80167	28
80	80168	29
80	80169	37
80	80170	120
80	80171	263
80	80172	264
80	80173	122
80	80174	33
80	80175	9
80	80176	5
80	80177	2
80	80182	1
80	80185	1
82	82165	8
82	82166	11
82	82167	25
82	82168	34
82	82169	32
82	82170	73
82	82171	156
82	82172	265
82	82173	239
82	82174	114
82	82175	30
82	82176	6
82	82177	2
82	82178	2
82	82179	0
82	82180	0
82	82181	1
82	82182	1
82	82183	1
84	84166	1
84	84167	1
84	84168	1
84	84169	5
84	84170	33
84	84171	58
84	84172	59
84	84173	58
84	84174	56
84	84175	92
84	84176	159
84	84177	193
84	84178	150
84	84179	96
84	84180	22
84	84181	9
84	84182	3
84	84183	0
84	84184	1
84	84185	0
84	84186	1
84	84187	0
84	84188	2
86	86172	3
86	86173	15
86	86174	42
86	86175	73
86	86176	73
86	86177	52
86	86178	35
86	86179	62
86	86180	107
86	86181	167
86	86182	196
86	86183	118
86	86184	46
86	86185	2
86	86186	5
86	86187	2
86	86194	1
86	86210	1
88	88181	4
88	88182	14
88	88183	36
88	88184	90
88	88185	177
88	88186	145
88	88187	72
88	88188	50
88	88189	47
88	88190	109
88	88191	129
