INC_NUMBER	BIN	BIN_FREQ
72	72158	59
72	72159	86
72	72160	49
72	72161	23
72	72162	4
72	72164	3
72	72169	2
80	80163	1
80	80164	10
80	80165	34
80	80166	41
80	80167	28
80	80168	29
80	80169	37
80	80170	120
80	80171	263
80	80172	264
80	80173	122
80	80174	33
80	80175	9
80	80176	5
80	80177	2
80	80182	1
80	80185	1
88	88181	4
88	88182	14
88	88183	36
88	88184	90
88	88185	177
88	88186	145
88	88187	72
88	88188	50
88	88189	47
88	88190	109
88	88191	129
88	88192	88
88	88193	26
88	88194	6
88	88195	5
88	88196	1
88	88198	1
96	96197	2
96	96198	3
96	96199	6
96	96200	8
96	96201	16
96	96202	38
96	96203	89
96	96204	186
96	96205	249
96	96206	179
96	96207	119
96	96208	51
96	96209	27
96	96210	13
96	96211	5
96	96212	6
96	96214	1
96	96217	1
96	96228	1
104	104214	1
104	104215	1
104	104216	18
104	104217	38
104	104218	73
104	104219	112
104	104220	82
104	104221	66
104	104222	66
104	104223	92
104	104224	143
104	104225	151
104	104226	100
104	104227	36
104	104228	15
104	104229	3
104	104230	1
104	104234	1
104	104242	1
112	112235	5
112	112236	25
112	112237	80
112	112238	171
112	112239	217
112	112240	168
112	112241	100
112	112242	64
112	112243	42
112	112244	49
112	112245	42
112	112246	23
112	112247	6
112	112248	3
112	112249	2
112	112250	1
112	112251	1
112	112256	1
120	120249	10
120	120251	82
120	120253	116
120	120255	121
120	120257	302
120	120259	274
120	120261	67
120	120263	22
120	120265	2
120	120267	1
120	120269	0
120	120271	0
120	120273	0
120	120275	1
128	128266	2
128	128268	28
128	128270	100
128	128272	62
128	128274	28
128	128276	50
128	128278	22
128	128280	6
128	128282	1 
160	160333	4
160	160335	39
160	160337	110
160	160339	106
160	160341	190
160	160343	235
160	160345	129
160	160347	97
160	160349	66
160	160351	20
160	160353	1
160	160355	0
160	160357	0
160	160359	1
160	160361	1
192	192399	3
192	192401	16
192	192403	40
192	192405	89
192	192407	190
192	192409	231
192	192411	164
192	192413	142
192	192415	85
192	192417	27
192	192419	6
192	192421	1
192	192423	0
192	192425	1
192	192427	0
192	192429	0
192	192431	2
224	224466	1
224	224468	7
224	224470	36
224	224472	93
224	224474	190
224	224476	182
224	224478	188
224	224480	138
224	224482	84
224	224484	43
224	224486	26
224	224488	5
224	224490	4
224	224492	1
256	256535	3
256	256537	15
256	256539	21
256	256541	34
256	256543	36
256	256545	66
256	256547	47
256	256549	39
256	256551	22
256	256553	10
256	256555	2
256	256557	2
256	256559	1
256	256561	0
256	256563	0
256	256565	0
256	256567	0
256	256569	0
256	256571	1
512	513079	34
512	513084	119
512	513089	106
512	513094	32
512	513099	6
1024	1026153	12
1024	1026158	44
1024	1026163	92
1024	1026168	89
1024	1026173	43
1024	1026178	10
1024	1026183	4
1024	1026188	1
1024	1026193	1
2048	2052247	5
2048	2052252	3
2048	2052257	9
2048	2052262	30
2048	2052267	69
2048	2052272	62
2048	2052277	60
2048	2052282	39
2048	2052287	13
2048	2052292	4
2048	2052297	2
2048	2052302	2
2048	2052307	1
2048	2052312	1
4096	4103969	8
4096	4103974	18
4096	4103979	21
4096	4103984	33
4096	4103989	35
4096	4103994	42
4096	4103999	44
4096	4104004	44
4096	4104009	28
4096	4104014	5
4096	4104019	3
4096	4104024	3
4096	4104029	1
8192	8209063	3
8192	8209068	3
8192	8209073	2
8192	8209078	6
8192	8209083	4
8192	8209088	10
8192	8209093	17
8192	8209098	18
8192	8209103	32
8192	8209108	27
8192	8209113	27
8192	8209118	30
8192	8209123	22
8192	8209128	17
8192	8209133	15
8192	8209138	11
8192	8209143	9
8192	8209148	3
8192	8209153	3
8192	8209158	2
8192	8209163	0
16384	16416265	2
16384	16416275	5
16384	16416285	2
16384	16416295	6
16384	16416305	9
16384	16416315	10
16384	16416325	9
16384	16416335	7
16384	16416345	18
16384	16416355	13
16384	16416365	19
16384	16416375	7
16384	16416385	10
16384	16416395	9
16384	16416405	1
16384	16416415	2
16384	16416425	0
16384	16416435	1
16384	16416445	0
